name,driving_time_from_home,features,distance_miles,duration_hours,elevation_gain_ft,saturday_weather,sunday_weather,difficulty_rating,% chance rain Saturday,% cloudy Saturday,% chance rain Sunday,% cloudy Sunday,last hiked,moon_phase_sat,moon_phase_sun,popularity,avg_rating,last review,num_reviews,is_closed,name,name_en,name_en-US,state_name,state_name_en,state_name_en-US,city_name,city_name_en,city_name_en-US,area_name,area_name_en,area_name_en-US,country_name_en,country_name_en-US,bucket,hike_url,is_day_hike,scale_pop
Booth Lake,2.6,"['forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'rocky']",10.0,6.067,3051.0,Mostly sunny skies during the morning will give way to mostly cloudy skies in the afternoon. A stray shower or thunderstorm is possible. High 79F. Winds WSW at 10 to 15 mph.,Partly cloudy early. Scattered thunderstorms developing in the afternoon. High 73F. Winds W at 5 to 10 mph. Chance of rain 60%.,5,20,46,60,61,2022-07-14T12:09:26Z,Waning Crescent,Waning Crescent,19.982,5.0,Trail was good. The steepest part was right before the falls. Gorgeous day for a hike.  Ohh the falls and lake are beautiful. Bug spray is a must if going to the lake,798,False,Booth Lake,Booth Lake,Booth Lake,Colorado,Colorado,Colorado,Vail,Vail,Vail,Eagles Nest Wilderness,Eagles Nest Wilderness,Eagles Nest Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/booth-lake--2,True,2.99582941176471
Missouri Lakes Trail,3.3,"['forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife', 'rocky']",9.2,5.083,2322.0,Partly cloudy with afternoon showers or thunderstorms. High 76F. Winds W at 10 to 15 mph. Chance of rain 40%.,"Partial cloudiness early, with scattered showers and thunderstorms in the afternoon. High near 70F. Winds W at 5 to 10 mph. Chance of rain 60%.",5,40,48,60,65,2022-07-16T19:22:44Z,Waning Crescent,Waning Crescent,18.9734,5.0,"Absolutely gorgeous hike. First mile or so is pretty steep rocky elevation gain. Did fine without trekking poles, but they definitely would have helped. My dogs did great on it as well! ",302,False,Missouri Lakes Trail,Missouri Lakes Trail,Missouri Lakes Trail,Colorado,Colorado,Colorado,Minturn,Minturn,Minturn,Holy Cross Wilderness,Holy Cross Wilderness,Holy Cross Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/missouri-lakes-trail,True,4.004429411764708
Independence and Lost Man Lakes via Lost Man Loop,2.82,"['dogs', 'lake', 'river', 'views', 'wild-flowers', 'no-shade']",5.5,3.267,1601.0,Partly cloudy early. Scattered thunderstorms developing in the afternoon. High 72F. Winds WNW at 5 to 10 mph. Chance of rain 40%.,Partly cloudy with afternoon showers or thunderstorms. High 66F. Winds NW at 5 to 10 mph. Chance of rain 60%.,3,40,49,60,67,2022-07-18T01:38:35Z,Waning Crescent,Waning Crescent,13.0541,5.0,"Such a beautiful trail. it's one of my favorites. Lots of wildflowers. Today there were mountain goats and baby mountain goats at Lost Man Lake. It is at high elevation and is exposed. No real shade. 
",394,False,Independence and Lost Man Lakes via Lost Man Loop,Independence and Lost Man Lakes via Lost Man Loop,Independence and Lost Man Lakes via Lost Man Loop,Colorado,Colorado,Colorado,Aspen,Aspen,Aspen,Hunter Fryingpan Wilderness,Hunter Fryingpan Wilderness,Hunter Fryingpan Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/independence-and-lost-man-lakes-via-lost-man-loop,True,9.92372941176471
Hanging Lake Trail,3.53,"['forest', 'lake', 'river', 'views', 'waterfall', 'rocky', 'fee', 'no dogs']",3.1,2.15,1187.0,"Except for a few afternoon clouds, mainly sunny. A stray shower or thunderstorm is possible. High 82F. Winds SW at 10 to 15 mph.",Partly cloudy early. Scattered thunderstorms developing in the afternoon. High 77F. Winds WSW at 5 to 10 mph. Chance of rain 50%.,3,20,41,50,55,2022-07-19T21:38:26Z,Waning Crescent,Waning Crescent,45.2297,5.0,Great trail definitely not an easy hike but worth it.,4025,False,Hanging Lake Trail,Hanging Lake Trail,Hanging Lake Trail,Colorado,Colorado,Colorado,Glenwood Springs,Glenwood Springs,Glenwood Springs,White River National Forest,White River National Forest,White River National Forest,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/hanging-lake,True,22.251870588235292
Lake Isabelle via Pawnee Pass Trail,2.48,"['forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife', 'rocky', 'fee']",5.5,2.133,551.0,Mostly sunny in the morning then increasing clouds with some scattered thunderstorms later in the day. High 68F. Winds WNW at 5 to 10 mph. Chance of rain 40%.,Partly cloudy early. Scattered thunderstorms developing in the afternoon. High near 60F. Winds WNW at 5 to 10 mph. Chance of rain 60%.,3,40,43,60,66,2022-07-20T15:33:53Z,Waning Crescent,Waning Crescent,49.0978,5.0,Did not realize this trail switched to timed entry. Looking for a long lake pass to lake Isabelle on July 26! Steph.schulker@gmail.com,3181,False,Lake Isabelle via Pawnee Pass Trail,Lake Isabelle via Pawnee Pass Trail,Lake Isabelle via Pawnee Pass Trail,Colorado,Colorado,Colorado,Ward,Ward,Ward,Indian Peaks Wilderness,Indian Peaks Wilderness,Indian Peaks Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/lake-isabelle,True,26.11997058823529
American Lake Trail,3.9,"['forest', 'lake', 'views', 'wild-flowers']",6.8,4.1,2043.0,"Partial cloudiness early, with scattered showers and thunderstorms in the afternoon. High 73F. Winds WNW at 5 to 10 mph. Chance of rain 40%.",Partly cloudy with afternoon showers or thunderstorms. High 68F. Winds NNW at 5 to 10 mph. Chance of rain 60%.,5,40,45,60,67,2022-07-18T18:48:20Z,Waning Crescent,Waning Crescent,21.5456,4.5,My favorite Aspen hike. Never disappoints… summer or fall! Well marked trail. For anyone who is in shape and acclimated this hike is steady up hill but not extremely difficult or technical. Looking forward to doing it all again mid September. ,963,False,American Lake Trail,American Lake Trail,American Lake Trail,Colorado,Colorado,Colorado,Aspen,Aspen,Aspen,White River National Forest,White River National Forest,White River National Forest,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/american-lake-trail,True,1.432229411764709
Pitkin Lake Trail,2.58,"['forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife', 'rocky']",10.5,6.133,2975.0,Mostly sunny skies during the morning will give way to mostly cloudy skies in the afternoon. A stray shower or thunderstorm is possible. High 81F. Winds WSW at 10 to 15 mph.,Partly cloudy in the morning followed by scattered thunderstorms in the afternoon. High near 75F. Winds W at 5 to 10 mph. Chance of rain 60%.,5,20,46,60,61,2022-07-17T17:47:50Z,Waning Crescent,Waning Crescent,18.697,4.5,"A few trees down, unfortunately a ton of mosquitos at the lake (kinda uncommon but thinking it’s all the rain) so no alpine dip this time around!",760,False,Pitkin Lake Trail,Pitkin Lake Trail,Pitkin Lake Trail,Colorado,Colorado,Colorado,Vail,Vail,Vail,Eagles Nest Wilderness,Eagles Nest Wilderness,Eagles Nest Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/pitkin-lake-trail,True,4.28082941176471
Andrews Tarn and Andrews Glacier Trail,2.97,"['forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife', 'rocky', 'fee', 'no dogs']",8.4,4.8,2260.0,Partly cloudy skies. A stray shower or thunderstorm is possible. High 71F. Winds W at 5 to 10 mph.,Partly cloudy early. Scattered thunderstorms developing in the afternoon. High 69F. Winds W at 5 to 10 mph. Chance of rain 50%.,5,20,44,50,51,2022-07-18T01:13:07Z,Waning Crescent,Waning Crescent,14.4873,4.5,"Beautiful day. Very few people after leaving main trail. Trail leading up to the tarn is challenging but well cairned. Fantastic view after leaving trees. One can probably climb the glacier with just spikes and poles but ice axe is good to have. After reaching the top of glacier, choose the route of least resistance to reach Taylor Peak summit. Unbelievable view of Sky Pond, Longs and surrounding peaks from top of Taylor. Glissading down the glacier was also tons of fun. All in all a great day in the park",190,False,Andrews Tarn and Andrews Glacier Trail,Andrews Tarn and Andrews Glacier Trail,Andrews Tarn and Andrews Glacier Trail,Colorado,Colorado,Colorado,Estes Park,Estes Park,Estes Park,Rocky Mountain National Park,Rocky Mountain National Park,Rocky Mountain National Park,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/andrews-tarn-and-andrews-glacier-trail,True,8.49052941176471
Lost Man Trail,2.82,"['lake', 'river', 'views', 'wild-flowers', 'wildlife', 'snow', 'no-shade']",8.7,4.467,1387.0,Partly cloudy early. Scattered thunderstorms developing in the afternoon. High 72F. Winds WNW at 5 to 10 mph. Chance of rain 40%.,Partly cloudy with afternoon showers or thunderstorms. High 66F. Winds NW at 5 to 10 mph. Chance of rain 60%.,5,40,49,60,67,2022-07-18T17:45:49Z,Waning Crescent,Waning Crescent,13.1869,4.5,Left a car at lower lost man and drove to start hike at upper. Was a beautiful day. Lots of water crossings but nothing without rocks or logs so did not get wet. Very windy at top of saddle but fantastic views in every direction. Highly recommend as long as you account for weather. We were outside almost 6 hours but “moving” 4.5 hours. Stopped to take lots of photos and also for lunch…,234,False,Lost Man Trail,Lost Man Trail,Lost Man Trail,Colorado,Colorado,Colorado,Aspen,Aspen,Aspen,Hunter Fryingpan Wilderness,Hunter Fryingpan Wilderness,Hunter Fryingpan Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/lost-man-trail,True,9.79092941176471
South Zapata Lake Trail,2.75,"['forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife', 'rocky']",9.7,6.167,3208.0,Mostly sunny skies during the morning hours. Scattered showers and thunderstorms developing in the afternoon. High 84F. Winds W at 5 to 10 mph. Chance of rain 40%.,Partly cloudy in the morning followed by scattered thunderstorms in the afternoon. High 78F. Winds SW at 5 to 10 mph. Chance of rain 60%.,5,40,34,60,56,2022-07-16T17:59:33Z,Waning Crescent,Waning Crescent,12.846,4.5,Easy to moderate rocky trail with AWESOME views,320,False,South Zapata Lake Trail,South Zapata Lake Trail,South Zapata Lake Trail,Colorado,Colorado,Colorado,Mosca,Mosca,Mosca,Sangre de Cristo Wilderness,Sangre de Cristo Wilderness,Sangre de Cristo Wilderness,United States of America,United States of America,1,https://www.alltrails.com/trail/us/colorado/south-zapata-lake-trail,True,10.13182941176471
